timestamp,itemid,property,value
1699990000000,101,categoryid,10
1699990000000,101,available,1
1699990000000,101,price,19.99
1699990000000,101,brand,alpha
1699990000000,102,categoryid,10
1699990000000,102,available,1
1699990000000,102,price,24.99
1699990000000,102,brand,alpha
1699990000000,201,categoryid,20
1699990000000,201,available,1
1699990000000,201,price,39.99
1699990000000,201,brand,beta
1700050000000,201,categoryid,25
1699990000000,202,categoryid,20
1699990000000,202,available,1
1699990000000,202,price,44.99
1699990000000,202,brand,beta
1699990000000,301,categoryid,30
1699990000000,301,available,1
1699990000000,301,price,9.99
1699990000000,301,brand,gamma
